doc_id,title,source,year,doc_type,topic_groups,n_topic_groups,matched_keywords_or_fields,location,language,notes
FAO_011,Brackishwater Shrimp Culture Demonstration in Bangladesh - BOBP/REP/35,FAO,1986,Technical book,aquatic_disease; biosecurity_management; species_taxon_specific,3,keywords: health; biosecurity/management keywords: health management; field: related_taxon/species,Bangladesh; Khulna; Satkhira,English,multi-label
FAO_012,Introductions and movement of Penaeus vannamei and Penaeus stylirostris in Asia and the Pacific,FAO,2004,Technical book,aquatic_disease; biosecurity_management; species_taxon_specific,3,"keywords: disease, pathogen; biosecurity/management keywords: risk; field: related_taxon/species",Asia; Pacific,English,multi-label
FAO_013,Surveillance and zoning for aquatic animal diseases,FAO,2004,Technical study,aquatic_disease; biosecurity_management; species_taxon_specific,3,"keywords: disease, surveillance, health; biosecurity/management keywords: risk, surveillance, zoning, kiem soat; field: related_taxon/species",Global,English,multi-label
FAO_014,GLOBEFISH Quarterly Lobster Analysis - February 2026,FAO,2026,Other document,marine_aquaculture; species_taxon_specific,2,marine keywords/fields: lobster; field: related_taxon/species,Canada; China; Global,English,multi-label
FAO_015,FAO species catalogue. Vol.13. Marine lobsters of the world. An annotated and illustrated catalogue of marine lobsters known to date,FAO,1991,Technical book,species_taxon_specific,1,field: related_taxon/species,Global,English,
FAO_016,Aquaculture development. 13. Guidelines for ex situ in vitro gene banking of aquatic genetic resources,FAO,2026,Technical book,biosecurity_management; species_taxon_specific,2,biosecurity/management keywords: biosecurity; field: related_taxon/species,Global,English,multi-label
FAO_017,Survey and evaluation of water qualities. A field guide for managers of inland fisheries and fish farms,FAO,2020,Technical book,environment_water_quality; species_taxon_specific,2,"environment keywords/fields: water quality, moi truong; field: related_taxon/species",inland waters; Hungary; Global,English,multi-label
FAO_018,Water quality and fish health,FAO,1993,Technical report,aquatic_disease; biosecurity_management; environment_water_quality; species_taxon_specific,4,"keywords: disease, health; biosecurity/management keywords: risk; environment keywords/fields: water quality, environment, environmental, pollution, moi truong; field: related_taxon/species",Europe,English,multi-label
FAO_019,Understanding and applying risk analysis in aquaculture,FAO,2008,Technical study,aquatic_disease; biosecurity_management; environment_water_quality; species_taxon_specific,4,"keywords: disease; biosecurity/management keywords: risk, risk analysis; environment keywords/fields: environmental, moi truong; field: related_taxon/species",Global,English,multi-label
FAO_020,Risk Analysis for Movements of Live Aquatic Animals. An introductory training course,FAO,2012,Technical book,aquatic_disease; biosecurity_management; species_taxon_specific,3,"keywords: disease, pathogen; biosecurity/management keywords: biosecurity, risk, risk analysis, risk management; field: related_taxon/species",Global,English,multi-label
FAO_021,Guidelines for Sustainable Aquaculture: Communications handbook and toolkit,FAO,2026,Handbook,environment_water_quality; species_taxon_specific,2,"environment keywords/fields: climate, moi truong; field: related_taxon/species",Global,English,multi-label
FAO_022,Aquaculture development. 4. Ecosystem approach to aquaculture,FAO,2010,Guideline,environment_water_quality; species_taxon_specific,2,"environment keywords/fields: environmental, moi truong; field: related_taxon/species",Global,English,multi-label
FAO_023,"Environmental impact assessment and monitoring in aquaculture. Requirements, practices, effectiveness and improvements",FAO,2009,Technical study,biosecurity_management; environment_water_quality; species_taxon_specific,3,"biosecurity/management keywords: risk, risk analysis; environment keywords/fields: environment, environmental, monitoring, moi truong; field: related_taxon/species",Global,English,multi-label
FAO_024,Reducing environmental impacts of coastal aquaculture,FAO,1991,Technical report,marine_aquaculture; environment_water_quality,2,"marine keywords/fields: coastal aquaculture, coastal; environment keywords/fields: environment, environmental, pollution, moi truong",coastal areas; marine environment,English,multi-label
FAO_025,"Environmental management and environmental impact assessment in aquaculture: Training Workshop for aquaculture managers. Entebbe, Uganda",FAO,2013,Technical report,environment_water_quality; species_taxon_specific,2,"environment keywords/fields: environment, environmental, moi truong; field: related_taxon/species",Uganda; Africa,English,multi-label
FAO_026,Aquaculture Environmental Impact Assessment,FAO,2014,Other document,environment_water_quality; species_taxon_specific,2,"environment keywords/fields: environment, environmental, monitoring, moi truong; field: related_taxon/species",Indian Ocean; Southern Africa,English,multi-label
FAO_027,Aquaculture Adaptation Framework for Climate Change (Aqua-Adapt),FAO,2025,Technical study,biosecurity_management; environment_water_quality; species_taxon_specific,3,"biosecurity/management keywords: risk; environment keywords/fields: environmental, climate, monitoring; field: related_taxon/species",Global,English,multi-label
FAO_028,Climate Change Adaptation in Fisheries and Aquaculture. Compilation of initial examples,FAO,2014,Technical report,marine_aquaculture; environment_water_quality; species_taxon_specific,3,marine keywords/fields: coastal; environment keywords/fields: climate; field: related_taxon/species,Global,English,multi-label
FAO_029,"Impacts of climate change on fisheries and aquaculture. Synthesis of current knowledge, adaptation and mitigation options",FAO,2018,Technical study,biosecurity_management; environment_water_quality; species_taxon_specific,3,"biosecurity/management keywords: risk; environment keywords/fields: environmental, climate; field: related_taxon/species",Global,English,multi-label
FAO_031,Translating the Guidelines for Sustainable Aquaculture into action. Policy brief,FAO,2026,Policy brief,species_taxon_specific,1,field: related_taxon/species,Global,English,
FAO_032,Future pathways for aquaculture and fisheries development in Azerbaijan,FAO,2026,Technical brief,species_taxon_specific,1,field: related_taxon/species,Azerbaijan,English,
FAO_033,FAO Reference Centres for Antimicrobial Resistance and Aquaculture Biosecurity. Combating AMR together: ensuring healthy and safe aquatic foods,FAO,2023,Brochure,aquatic_disease; biosecurity_management; species_taxon_specific,3,"keywords: disease, health, disease control; biosecurity/management keywords: biosecurity, kiem soat; field: related_taxon/species",Global,English,multi-label
FAO_034,A survey of national emergency preparedness and response (EPR) systems. FAO Project TCP/INT/3501: Strengthening biosecurity governance and capacities for dealing with the serious shrimp infectious myonecrosis virus (IMNV) disease,FAO,2018,Technical report,aquatic_disease; biosecurity_management; species_taxon_specific,3,"field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: biosecurity, surveillance, kiem soat, emergency preparedness; field: related_taxon/species",Global,English,multi-label
FAO_035,Health management in Asian aquaculture,FAO,1995,Technical study,aquatic_disease; biosecurity_management; environment_water_quality; species_taxon_specific,4,"keywords: disease, diagnosis, health, disease control; biosecurity/management keywords: health management, kiem soat; environment keywords/fields: environmental; field: related_taxon/species",Asia; Pacific,English,multi-label
FAO_036,Strengthening aquaculture health management in Bosnia and Herzegovina,FAO,2009,Technical study,aquatic_disease; biosecurity_management; species_taxon_specific,3,"keywords: disease, surveillance, health, disease control; biosecurity/management keywords: health management, surveillance; field: related_taxon/species",Bosnia and Herzegovina,English,multi-label
FAO_037,Preventing and managing aquatic animal disease risks in aquaculture through a progressive management pathway,FAO,2019,Meeting document,aquatic_disease; biosecurity_management; species_taxon_specific,3,"keywords: disease; biosecurity/management keywords: biosecurity, prevention, risk, risk analysis, risk management; field: related_taxon/species",Global,English,multi-label
FAO_038,Risk management practices of small intensive shrimp farmers in the Mekong Delta of Viet Nam,FAO,2019,Technical book,aquatic_disease; biosecurity_management; local_vietnam_khanhhoa; species_taxon_specific,4,"keywords: disease; biosecurity/management keywords: risk, risk management; local keywords/fields: vietnam, viet nam, mekong delta, dong bang song cuu long, ca mau; field: related_taxon/species",Vietnam; Mekong Delta; Bac Lieu; Ben Tre; Ca Mau,English,multi-label
FAO_039,Promotion of Small-scale Shrimp and Prawn Hatcheries in India and Bangladesh - BOBP/REP/66,FAO,1994,Technical book,aquatic_disease; hatchery_seed_production; biosecurity_management; species_taxon_specific,4,"keywords: health; hatchery keywords/fields: hatchery, trai giong; biosecurity/management keywords: health management; field: related_taxon/species",India; Bangladesh,English,multi-label
FAO_040,An assessment of impacts from shrimp aquaculture in Bangladesh and prospects for improvement,FAO,2017,Technical study,marine_aquaculture; environment_water_quality; species_taxon_specific,3,"marine keywords/fields: coastal aquaculture, coastal; environment keywords/fields: water quality, environment, environmental, moi truong; field: related_taxon/species",Bangladesh,English,multi-label
FAO_041,Guidelines for Sustainable Aquaculture,FAO,2025,Guideline,biosecurity_management; environment_water_quality; species_taxon_specific,3,"biosecurity/management keywords: biosecurity; environment keywords/fields: monitoring, moi truong; field: related_taxon/species",Global,English,multi-label
FAO_042_i3720e,The State of World Fisheries and Aquaculture 2024 – Blue Transformation in action,FAO,2024,Flagship report,environment_water_quality; species_taxon_specific,2,environment keywords/fields: climate; field: related_taxon/species,Global,English,multi-label
NACA_001,"Status, technological innovations, and industry development needs of mud crab (Scylla spp.) aquaculture",NACA,2025,Workshop proceedings,hatchery_seed_production; species_taxon_specific,2,hatchery keywords/fields: hatchery; field: related_taxon/species,Singapore; Global,English,multi-label
NACA_002,Shrimp farm biosecurity in Saudi Arabia: A journey from past practices to future vision,NACA,2025,Magazine article,aquatic_disease; hatchery_seed_production; biosecurity_management; environment_water_quality; species_taxon_specific,5,"field: disease/pathogen/symptom/prevention/treatment; hatchery keywords/fields: hatchery, broodstock; biosecurity/management keywords: biosecurity, an toan sinh hoc; environment keywords/fields: monitoring; field: related_taxon/species",Saudi Arabia,English,multi-label
NACA_003,"Report of the fifteenth meeting of the Asia Regional Advisory Group on Aquatic Animal Health, 21-23 November 2016",NACA,2017,Meeting report,aquatic_disease; biosecurity_management; local_vietnam_khanhhoa; species_taxon_specific,4,field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: biosecurity; local keywords/fields: vietnam; field: related_taxon/species,Australia; China; India; Indonesia; Malaysia; Philippines; Thailand; Vietnam,English,multi-label
TCTS_001,Các bệnh thường gặp trên tôm nước lợ và biện pháp phòng chống hiệu quả,TCTS,2026,Web article,aquatic_disease; biosecurity_management; local_vietnam_khanhhoa; species_taxon_specific,4,"field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: biosecurity, prevention; local keywords/fields: vietnam, viet nam; field: related_taxon/species",Vietnam,Vietnamese,multi-label
IJMS_001,Integrin β Regulates the Hepatopancreas Antiviral Innate Immune System by Affecting the Expression of Antimicrobial Peptides in Penaeus vannamei,PMC/journal,2025,Journal article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,,English,multi-label
BIOLOGY_001,Characterization and Expression Analysis of the C-Type Lectin Ladderlectin in Litopenaeus vannamei Post-WSSV Infection,PMC/journal,2024,Journal article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,,English,multi-label
PLOS_001,"PmVRP15, a Novel Viral Responsive Protein from the Black Tiger Shrimp, Penaeus monodon, Promoted White Spot Syndrome Virus Replication",PMC/journal,2014,Journal article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,,English,multi-label
SEAFDEC_001,Acute hepatopancreatic necrosis disease (AHPND)) and hepatopancreatic microsporidiosis (HPM)): Two threats to sustainable shrimp aquaculture,SEAFDEC,2021,Proceedings paper,aquatic_disease; biosecurity_management; species_taxon_specific,3,field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: disease management; field: related_taxon/species,,English,multi-label
SEAFDEC_002,Status of transboundary diseases of penaeid shrimps in Singapore,SEAFDEC,2016,Proceedings paper,aquatic_disease; biosecurity_management; species_taxon_specific,3,"field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: biosecurity, surveillance, kiem soat; field: related_taxon/species",Singapore,English,multi-label
SEAFDEC_003,Important diseases and practical control measures in shrimp culture in Japan,SEAFDEC,2016,Proceedings paper,aquatic_disease; hatchery_seed_production; biosecurity_management; species_taxon_specific,4,"field: disease/pathogen/symptom/prevention/treatment; hatchery keywords/fields: hatchery; biosecurity/management keywords: biosecurity, control measures, kiem soat; field: related_taxon/species",Japan,English,multi-label
SEAFDEC_004,Advocating preventive measures that inhibit early mortality syndrome in shrimps,SEAFDEC,2017,Magazine article,aquatic_disease; biosecurity_management; species_taxon_specific,3,"field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: biosecurity, prevention; field: related_taxon/species",Southeast Asia,Vietnamese,multi-label
SEAFDEC_005,Status of shrimp health management in Myanmar,SEAFDEC,2016,Proceedings paper,aquatic_disease; biosecurity_management; species_taxon_specific,3,"field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: biosecurity, health management, disease management; field: related_taxon/species",Myanmar,English,multi-label
SEAFDEC_006,Status of acute hepatopancreatic necrosis disease (AHPND) of cultured shrimps in the Philippines,SEAFDEC,2016,Proceedings paper,aquatic_disease; biosecurity_management; species_taxon_specific,3,"field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: biosecurity, surveillance, kiem soat; field: related_taxon/species",Philippines,English,multi-label
SEAFDEC_007,"Draft genome sequence of Vibrio parahaemolyticus strain PH1339, which causes acute hepatopancreatic necrosis disease in shrimp in the Philippines",SEAFDEC,2019,Journal article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,Philippines,English,multi-label
SEAFDEC_008,Current status and impact of early mortality syndrome (EMS)/acute hepatopancreatic necrosis disease (AHPND) and hepatopancreatic microsporidiosis (HPM) outbreaks on Thailand’s shrimp farming,SEAFDEC,2016,Proceedings paper,aquatic_disease; biosecurity_management; species_taxon_specific,3,field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: biosecurity; field: related_taxon/species,Thailand,English,multi-label
SEAFDEC_009,Current status of acute hepatopancreatic necrosis disease (AHPND) and other transboundary diseases of farmed shrimps in Indonesia,SEAFDEC,2016,Proceedings paper,aquatic_disease; biosecurity_management; species_taxon_specific,3,"field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: biosecurity, kiem soat; field: related_taxon/species",Indonesia,English,multi-label
SEAFDEC_010,Latest research on acute hepatopancreatic necrosis disease (AHPND) of penaeid shrimps,SEAFDEC,2016,Proceedings paper,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,,English,multi-label
SEAFDEC_011,Current status of acute hepatopancreatic necrosis disease (AHPND) of farmed shrimp in Malaysia,SEAFDEC,2016,Proceedings paper,aquatic_disease; biosecurity_management; species_taxon_specific,3,"field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: biosecurity, kiem soat; field: related_taxon/species",Malaysia,English,multi-label
FAO_042_biosecurity_philippines,Biosecurity in Aquaculture: Philippines,FAO,2018,Workshop presentation,aquatic_disease; hatchery_seed_production; biosecurity_management; species_taxon_specific,4,"keywords: disease, pathogen, health; hatchery keywords/fields: hatchery; biosecurity/management keywords: biosecurity, prevention, risk, risk management; field: related_taxon/species",Philippines,English,multi-label
FAO_043,Boosting biosecurity in Peru’s shrimp farming industry for sustainable livelihoods,FAO,2025,News article,aquatic_disease; biosecurity_management; species_taxon_specific,3,"keywords: disease, health; biosecurity/management keywords: biosecurity, prevention, risk, risk management; field: related_taxon/species",Peru,English,multi-label
TCKHTS_001,"Thực trạng môi trường và dịch bệnh tại vùng nuôi tôm trên cát ở Thạch Hà, Cẩm Xuyên và Nghi Xuân, Hà Tĩnh",Vietnamese journal,2020,Journal article,aquatic_disease; environment_water_quality; local_vietnam_khanhhoa; species_taxon_specific,4,"field: disease/pathogen/symptom/prevention/treatment; environment keywords/fields: environment, moi truong; local keywords/fields: ha tinh, thach ha, cam xuyen, nghi xuan; field: related_taxon/species",Hà Tĩnh; Thạch Hà; Cẩm Xuyên; Nghi Xuân,Vietnamese,multi-label
FAO_044,Report of the FAO/MARD Technical Workshop on Early Mortality Syndrome (EMS) or Acute Hepatopancreatic Necrosis Syndrome (AHPNS) of Cultured Shrimp,FAO,2013,Technical workshop report,aquatic_disease; biosecurity_management; local_vietnam_khanhhoa; species_taxon_specific,4,"field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: biosecurity, disease management; local keywords/fields: vietnam, viet nam; field: related_taxon/species",Hà Nội; Vietnam,English,multi-label
FAO_045,Strengthening Capacity for Dealing with Shrimp Infectious Myonecrosis Virus Disease - TCP/INT/3501,FAO,2019,Factsheet,aquatic_disease; biosecurity_management; species_taxon_specific,3,"field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: biosecurity, surveillance, emergency preparedness; field: related_taxon/species",Brazil; China; Ecuador; Indonesia; Mexico; Thailand,English,multi-label
PMC_001,"Enterocytozoon hepatopenaei Infection in Shrimp: Diagnosis, Interventions, and Food Safety Guidelines",PMC/journal,2023,Journal article,aquatic_disease; biosecurity_management; species_taxon_specific,3,field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: biosecurity; field: related_taxon/species,,English,multi-label
PMC_002,Quantification of Enterocytozoon hepatopenaei (EHP) in Penaeid Shrimps from Southeast Asia and Latin America Using TaqMan Probe-Based Quantitative PCR,PMC/journal,2019,Journal article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,Southeast Asia; Latin America,English,multi-label
PMC_003,Ecytonucleospora hepatopenaei (EHP) disease prevalence and mortality in Litopenaeus vannamei: a comparative study from Eastern India shrimp farms,PMC/journal,2024,Journal article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,India,English,multi-label
PMC_004,Differential regulation of the eicosanoid biosynthesis pathway in response to Enterocytozoon hepatopenaei infection in Litopenaeus vannamei,PMC/journal,2025,Journal article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,,English,multi-label
PMC_005,Ecytonucleospora hepatopenaei causes lipid droplet depletion and imbalanced lipid metabolism in Penaeus vannamei,PMC/journal,2025,Journal article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,,English,multi-label
PMC_006,Microbial community characterization of shrimp survivors to AHPND challenge test treated with an effective shrimp probiotic (Vibrio diabolicus),PMC/journal,2021,Journal article,aquatic_disease; biosecurity_management; species_taxon_specific,3,field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: biosecurity; field: related_taxon/species,,English,multi-label
PMC_007,"Effects of Feed Mixed with Lactic Acid Bacteria and Carbon, Nitrogen, Phosphorus Supplied to the Water on the Growth and Survival Rate of White Leg Shrimp (Penaeus vannamei) Infected with Acute Hepatopancreatic Necrosis Disease Caused by Vibrio parahaemolyticus",PMC/journal,2021,Journal article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,,English,multi-label
PMC_008,Investigation of the Protective Effect of Probiotic Lactobacillus plantarum Ep-M17 on the Hepatopancreas of Penaeus vannamei,PMC/journal,2024,Journal article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,,English,multi-label
PMC_009,Characterization of Microbiome Diversity in the Digestive Tract of Penaeus vannamei Fed with Probiotics and Challenged with Vibrio parahaemolyticus Acute Hepatopancreatic Necrosis Disease,PMC/journal,2025,Journal article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,,English,multi-label
PMC_010,A Review of the Functional Annotations of Important Genes in the AHPND-Causing pVA1 Plasmid,PMC/journal,2020,Journal article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,,English,multi-label
PMC_011,Structural Insights into the Cytotoxic Mechanism of Vibrio parahaemolyticus PirAvp and PirBvp Toxins,PMC/journal,2017,Journal article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,,English,multi-label
PMC_012,Diagnosis and potential treatments for acute hepatopancreatic necrosis disease (AHPND): a review,PMC/journal,2019,Journal article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,,English,multi-label
PMC_013,Innovative use of squid (Loligo spp.) ink powder as a potent immunostimulant for vannamei shrimp (Litopenaeus vannamei) in the treatment of infectious myonecrosis,PMC/journal,2025,Journal article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,,English,multi-label
PMC_014,"Immune response, gene expression, and intestinal microbial composition of Pacific white shrimp fed with multispecies synbiotic for the prevention of coinfected disease",PMC/journal,2022,Journal article,aquatic_disease; biosecurity_management; species_taxon_specific,3,field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: prevention; field: related_taxon/species,,English,multi-label
PMC_015,"Kiam wood, Cotylelobium lanceotatum, extract as a natural antimicrobial agent: protecting Pacific white shrimp, Penaeus vannamei, against vibriosis",PMC/journal,2025,Journal article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,,English,multi-label
PMC_016,Passive Immune-Protection of Litopenaeus vannamei against Vibrio harveyi and Vibrio parahaemolyticus Infections with Anti-Vibrio Egg Yolk (IgY)-Encapsulated Feed,PMC/journal,2016,Journal article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,,English,multi-label
PMC_017,Shrimp shape resistance trait against vibriosis by memorizing the colonization resistance of intestinal microbiota,PMC/journal,2024,Journal article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,,English,multi-label
PMC_018,Transcriptomic insights into the resistance mechanism of Penaeus vannamei against highly lethal Vibrio parahaemolyticus,PMC/journal,2025,Journal article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,,English,multi-label
PMC_019,Isolation and Characterization of Specific Phages to Prepare a Cocktail Preventing Vibrio sp. Va-F3 Infections in Shrimp (Litopenaeus vannamei),PMC/journal,2019,Journal article,aquatic_disease; biosecurity_management; species_taxon_specific,3,field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: kiem soat; field: related_taxon/species,,English,multi-label
PMC_020,Dynamic Interplay of Metabolic and Transcriptional Responses in Shrimp during Early and Late Infection Stages of Enterocytozoon hepatopenaei (EHP),PMC/journal,2023,Journal article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,,English,multi-label
PMC_021,The emerging pathogen Enterocytozoon hepatopenaei drives a degenerative cyclic pattern in the hepatopancreas microbiome of the shrimp (Penaeus vannamei),PMC/journal,2022,Journal article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,,English,multi-label
PMC_022,Immune signaling of Litopenaeus vannamei c-type lysozyme and its role during microsporidian Enterocytozoon hepatopenaei (EHP) infection,PMC/journal,2024,Journal article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,,English,multi-label
PMC_023,A review on molecular detection techniques of white spot syndrome virus: Perspectives of problems and solutions in shrimp farming,PMC/journal,2022,Journal article,aquatic_disease; biosecurity_management; species_taxon_specific,3,field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: biosecurity; field: related_taxon/species,,English,multi-label
PMC_024,Immunostimulants for shrimp aquaculture: paving pathway towards shrimp sustainability,PMC/journal,2022,Journal article,aquatic_disease; biosecurity_management; species_taxon_specific,3,"field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: prevention, phong benh; field: related_taxon/species",,English,multi-label
PMC_025,Occurrence of viral pathogens in Penaeus monodon post-larvae from aquaculture hatcheries,PMC/journal,2015,Journal article,aquatic_disease; hatchery_seed_production; species_taxon_specific,3,"field: disease/pathogen/symptom/prevention/treatment; hatchery keywords/fields: hatchery, larvae, post larvae, trai giong; field: related_taxon/species",India; Kerala,English,multi-label
PMC_026,Las bolitas Syndrome in Penaeus vannamei Hatcheries in Latin America,PMC/journal,2024,Journal article,aquatic_disease; hatchery_seed_production; species_taxon_specific,3,"field: disease/pathogen/symptom/prevention/treatment; hatchery keywords/fields: hatchery, larvae, post larvae, zoea, trai giong; field: related_taxon/species",Latin America,English,multi-label
PMC_027,"Emergence of decapod hepanhamaparvovirus genotype V and its co-infection with Enterocytozoon hepatopenaei in cultured Penaeus vannamei in Thailand: Evidence from epidemiological, pathogenicity, and microbiome analyses",PMC/journal,2025,Journal article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,Thailand,English,multi-label
PMC_028,"Microbiome of Pacific Whiteleg shrimp reveals differential bacterial community composition between Wild, Aquacultured and AHPND/EMS outbreak conditions",PMC/journal,2017,Journal article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,,English,multi-label
PMC_029,Selection of Lactic Acid Bacteria (LAB) Antagonizing Vibrio parahaemolyticus: The Pathogen of Acute Hepatopancreatic Necrosis Disease (AHPND) in Whiteleg Shrimp (Penaeus vannamei),PMC/journal,2019,Journal article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,,English,multi-label
