query_id,query_text,query_group,detected_profile,inferred_profile,detected_disease_entities,detected_taxon_entities,detected_location_entities,detected_production_mode_entities,detected_topic_or_management_entities,alias_matches,canonical_entities,uses_disease_priority,uses_species_priority,uses_location_guardrail,uses_production_mode_guardrail,recommended_signal_priority,note
HM_007,trại giống tôm nước mặn quy mô nhỏ Ấn Độ Bangladesh,hatchery-production-mode,species_priority,hatchery-production-mode,,tôm,Ấn Độ; Bangladesh,hatchery aquaculture,,species:tom->tôm [term]; location:an o->Ấn Độ [kg]; location:bangladesh->Bangladesh [kg]; mode:trai giong->hatchery aquaculture [term],"{""species"": [""tôm""], ""location"": [""Ấn Độ"", ""Bangladesh""], ""mode"": [""hatchery aquaculture""]}",False,True,False,False,"production_mode metadata + species + vector; KG mode and hatchery intent guardrails are important. Runtime flags: species_priority, location-sensitive, mode-sensitive.",OK
HM_010,broodstock và post-larvae tôm thẻ trong trại giống probiotics,hatchery-production-mode,species_priority,hatchery-production-mode,,broodstock; post-larvae; Penaeus vannamei,,hatchery aquaculture,,species:broodstock->broodstock [term]; species:post-larvae->post-larvae [term]; species:tom the->Penaeus vannamei [term]; mode:trai giong->hatchery aquaculture [term],"{""species"": [""broodstock"", ""post-larvae"", ""Penaeus vannamei""], ""mode"": [""hatchery aquaculture""]}",False,True,False,True,"production_mode metadata + species + vector; KG mode and hatchery intent guardrails are important. Runtime flags: species_priority, mode-sensitive.",Linked error-analysis note: metadata_incomplete
LO_001,nuôi tôm hùm ở Khánh Hòa,local,species_priority,local,,lobster,Khanh Hoa,,,species:tom hum->lobster [kg]; location:khanh hoa->Khanh Hoa [kg],"{""species"": [""lobster""], ""location"": [""Khanh Hoa""]}",False,True,True,False,"location metadata/KG + lexical exact terms + vector; guardrails should protect local aquaculture intent. Runtime flags: species_priority, location-sensitive.",Linked error-analysis note: weak_candidate_pool
LO_002,hiện diện bệnh đốm trắng AHPND và EHP trên tôm ĐBSCL 2022–2024,local,disease_priority,local,WSSV; AHPND; EHP,tôm,Đồng bằng sông Cửu Long,,,disease:benh om trang->WSSV [kg]; disease:ahpnd->AHPND [kg]; disease:ehp->EHP [kg]; species:tom->tôm [term]; location:bscl->Đồng bằng sông Cửu Long [kg],"{""disease"": [""WSSV"", ""AHPND"", ""EHP""], ""species"": [""tôm""], ""location"": [""Đồng bằng sông Cửu Long""]}",True,False,False,False,"location metadata/KG + lexical exact terms + vector; guardrails should protect local aquaculture intent. Runtime flags: disease_priority, species_priority, location-sensitive.",OK
LO_003,thực trạng môi trường và dịch bệnh nuôi tôm cát Thạch Hà Cẩm Xuyên Nghi Xuân Hà Tĩnh,local,species_priority,local,,tôm,Thạch Hà; Cẩm Xuyên; Nghi Xuân; Hà Tĩnh,,,species:tom->tôm [term]; location:thach ha->Thạch Hà [term]; location:cam xuyen->Cẩm Xuyên [term]; location:nghi xuan->Nghi Xuân [term]; location:ha tinh->Hà Tĩnh [term],"{""species"": [""tôm""], ""location"": [""Thạch Hà"", ""Cẩm Xuyên"", ""Nghi Xuân"", ""Hà Tĩnh""]}",False,True,True,False,"location metadata/KG + lexical exact terms + vector; guardrails should protect local aquaculture intent. Runtime flags: species_priority, location-sensitive.",Linked error-analysis note: missing_location_fact
LO_004,quy hoạch phát triển nuôi tôm hùm Khánh Hòa đến 2030,local,species_priority,local,,lobster,Khanh Hoa,,,species:tom hum->lobster [kg]; location:khanh hoa->Khanh Hoa [kg],"{""species"": [""lobster""], ""location"": [""Khanh Hoa""]}",False,True,True,False,"location metadata/KG + lexical exact terms + vector; guardrails should protect local aquaculture intent. Runtime flags: species_priority, location-sensitive.",OK
LO_005,rủi ro quản lý nông dân nuôi tôm càng quy mô nhỏ Đồng bằng sông Cửu Long,local,species_priority,local,,tôm,Đồng bằng sông Cửu Long,,,species:tom->tôm [term]; location:ong bang song cuu long->Đồng bằng sông Cửu Long [kg],"{""species"": [""tôm""], ""location"": [""Đồng bằng sông Cửu Long""]}",False,True,True,False,"location metadata/KG + lexical exact terms + vector; guardrails should protect local aquaculture intent. Runtime flags: species_priority, location-sensitive.",Linked error-analysis note: missing_location_fact
LO_006,bệnh đốm trắng ở tôm nuôi và công nghệ phòng bệnh đốm trắng,local,disease_priority,local,WSSV,tôm,,,,disease:benh om trang->WSSV [kg]; disease:benh om trang->WSSV [kg]; species:tom->tôm [term],"{""disease"": [""WSSV""], ""species"": [""tôm""]}",True,False,False,False,"location metadata/KG + lexical exact terms + vector; guardrails should protect local aquaculture intent. Runtime flags: disease_priority, species_priority.",Location-sensitive query with no runtime location entity.
LO_007,các bệnh thường gặp tôm nước lợ và biện pháp phòng chống hiệu quả,local,species_priority,local,,tôm,,,,species:tom->tôm [term],"{""species"": [""tôm""]}",False,True,False,False,location metadata/KG + lexical exact terms + vector; guardrails should protect local aquaculture intent. Runtime flags: species_priority.,Location-sensitive query with no runtime location entity.
SL_001,nuôi tôm sú và trại giống tại Bangladesh,species-location,species_priority,species-location,,Penaeus monodon,Bangladesh,hatchery aquaculture,,species:tom su->Penaeus monodon [kg]; location:bangladesh->Bangladesh [kg]; mode:trai giong->hatchery aquaculture [term],"{""species"": [""Penaeus monodon""], ""location"": [""Bangladesh""], ""mode"": [""hatchery aquaculture""]}",False,True,True,False,"metadata species/location + vector; KG location/taxon facts and intent guardrails are secondary. Runtime flags: species_priority, location-sensitive, mode-sensitive.",Linked error-analysis note: scoring_or_intent_issue
SL_002,tôm thẻ chân trắng Penaeus vannamei di chuyển giới thiệu Châu Á Thái Bình Dương,species-location,species_priority,species-location,,Penaeus vannamei,,,,species:tom the chan trang->Penaeus vannamei [kg]; species:penaeus vannamei->Penaeus vannamei [kg],"{""species"": [""Penaeus vannamei""]}",False,True,False,False,metadata species/location + vector; KG location/taxon facts and intent guardrails are secondary. Runtime flags: species_priority.,Location-sensitive query with no runtime location entity.
SL_004,nuôi tôm thẻ nước lợ cải tiến trao đổi nước thấp Thái Lan,species-location,species_priority,species-location,,Penaeus vannamei,Thailand,,,species:tom the->Penaeus vannamei [term]; location:thai lan->Thailand [term],"{""species"": [""Penaeus vannamei""], ""location"": [""Thailand""]}",False,True,True,False,"metadata species/location + vector; KG location/taxon facts and intent guardrails are secondary. Runtime flags: species_priority, location-sensitive.",Linked error-analysis note: not_error_but_baseline_limitation
SL_006,Penaeus monodon hatchery manual Ấn Độ kinh nghiệm,species-location,species_priority,species-location,,Penaeus monodon,Ấn Độ,hatchery aquaculture,,species:penaeus monodon->Penaeus monodon [kg]; location:an o->Ấn Độ [kg]; mode:hatchery->hatchery aquaculture [term],"{""species"": [""Penaeus monodon""], ""location"": [""Ấn Độ""], ""mode"": [""hatchery aquaculture""]}",False,True,False,False,"metadata species/location + vector; KG location/taxon facts and intent guardrails are secondary. Runtime flags: species_priority, location-sensitive, mode-sensitive.",OK
SL_007,shrimp hatchery Latin America white shrimp,species-location,species_priority,species-location,,shrimp; Penaeus vannamei,Mỹ Latin,hatchery aquaculture,,species:shrimp->shrimp [kg]; species:white shrimp->Penaeus vannamei [kg]; location:latin america->Mỹ Latin [kg]; mode:hatchery->hatchery aquaculture [term],"{""species"": [""shrimp"", ""Penaeus vannamei""], ""location"": [""Mỹ Latin""], ""mode"": [""hatchery aquaculture""]}",False,True,False,False,"metadata species/location + vector; KG location/taxon facts and intent guardrails are secondary. Runtime flags: species_priority, location-sensitive, mode-sensitive.",OK
