query_id,original_query,query_group,detected_entity,entity_type,expansion_type,expansion_terms,expansion_source,expanded_query_example,expected_effect,risk_or_caution,should_use_in_final,notes
QE_LOCATION_KHANHHOA_PARENT,lobster Khanh Hoa,local,Khánh Hòa,location,location_parent,Việt Nam; Nam Trung Bộ; coastal Vietnam,metadata related_location; manual_safe_rule_from_existing_facts,,Allow broader coastal Vietnam documents to seed candidates when local docs are sparse.,Parent location is broad; should be lower weight than exact location.,false,
QE_LOCATION_MEKONG_ALIAS,Mekong Delta shrimp farming,local,Mekong Delta,location,location_alias,ĐBSCL; Đồng bằng sông Cửu Long; Vietnamese Mekong Delta,metadata related_location; fallback_metadata_alias,,Improve matching for Vietnamese reports using ĐBSCL abbreviation.,Avoid expanding to all Vietnam unless candidate recall is too low.,false,
QE_LOCATION_THAILAND_ALIAS,shrimp farming Thailand,species-location,Thailand,location,location_alias,Bangkok; Thailand; Thai shrimp farming,metadata related_location,,Recover FAO/technical seminar documents using Bangkok/Thailand context.,Bangkok may indicate seminar location rather than production location.,false,
QE_LOCATION_PHILIPPINES_ALIAS,AHPND Philippines shrimp,local,Philippines,location,location_alias,Philippines; Southeast Asia; shrimp aquaculture Philippines,metadata related_location; manual_safe_rule_from_existing_facts,,Support local disease surveillance queries where country is central.,Southeast Asia is broad; use lower weight.,false,
QE_LOCATION_VIETNAM_ALIAS,shrimp farming Vietnam,local,Vietnam,location,location_alias,Việt Nam; Vietnam; ĐBSCL; Khánh Hòa; Nam Trung Bộ,metadata related_location,,Map English/Vietnamese location names for local aquaculture documents.,Province/region expansion should depend on query context.,false,
QE_MODE_HATCHERY_ALIAS,biosecurity shrimp hatchery,biosecurity-management,hatchery,production_mode,production_mode_alias,trại giống; shrimp hatchery; hatchery aquaculture; larval rearing; post-larvae,metadata production_mode; metadata keywords; fallback_metadata_alias,,Improve retrieval for hatchery-specific biosecurity/health management documents.,Larval/post-larvae terms may over-focus on life stage.,false,
QE_MODE_AQUACULTURE_ALIAS,aquaculture biosecurity guidelines,biosecurity-management,aquaculture,production_mode,production_mode_alias,nuôi trồng thủy sản; aquaculture; shrimp aquaculture; marine aquaculture,metadata production_mode; skos:altLabel,,Bridge English and Vietnamese aquaculture mode wording.,Generic aquaculture expansion is broad; preserve topic constraints.,false,
QE_MODE_GROWOUT_ALIAS,shrimp grow-out disease prevention,biosecurity-management,grow-out,production_mode,production_mode_alias,growout; grow-out aquaculture; pond culture; shrimp farming,metadata keywords; manual_safe_rule_from_existing_facts,,Recover pond/grow-out documents even if they do not use the exact query term.,May mix hatchery and grow-out if production mode is not guarded.,false,
QE_MODE_BROODSTOCK_ALIAS,broodstock post-larvae shrimp hatchery,hatchery-production-mode,broodstock,production_mode,production_mode_alias,broodstock; larvae; postlarvae; post-larvae; probiotics; hatchery tanks,metadata keywords; metadata production_mode,,Connect life-stage hatchery queries to relevant microbiome/probiotics studies.,Life-stage terms should not replace species/disease constraints.,false,
QE_TOPIC_BIOSECURITY_ALIAS,biosecurity shrimp hatchery,biosecurity-management,biosecurity,topic,topic_alias,an toàn sinh học; disease prevention; health management; disease control,metadata keywords; skos:altLabel; query_understanding_profiles,,Improve cross-language matching for biosecurity/health management topics.,Can drift to generic management if species/mode are dropped.,false,
QE_TOPIC_SURVEILLANCE_ALIAS,surveillance zoning aquatic animal diseases,biosecurity-management,surveillance,topic,topic_alias,disease surveillance; zoning; risk assessment; animal health,metadata keywords; query_understanding_profiles,,Strengthen matching to surveillance/zoning manuals.,Risk assessment is broader than surveillance; lower weight recommended.,false,
QE_MIXED_AHPND_VANNAMEI,AHPND Penaeus vannamei hatchery,disease-specific,AHPND + Penaeus vannamei + hatchery,disease,disease_to_pathogen,acute hepatopancreatic necrosis disease; Vibrio parahaemolyticus; whiteleg shrimp; tôm thẻ chân trắng; hatchery aquaculture,ontology relation causedBy; metadata related_taxon; metadata production_mode,,"Expand disease, species and production mode together while keeping query intent specific.",Multi-axis expansion should be capped to avoid overlong vector query.,false,
QE_MIXED_LOBSTER_KHANHHOA,lobster Khanh Hoa aquaculture,local,lobster + Khánh Hòa + aquaculture,taxon,taxon_alias,tôm hùm; spiny lobster; Panulirus ornatus; Vịnh Cam Ranh; Vạn Ninh; marine aquaculture,metadata related_taxon; metadata related_location; metadata production_mode,,Improve local marine aquaculture candidate recall.,Must avoid capture-fisheries lobster market documents when query is aquaculture.,false,
QE_MIXED_WSSV_MEKONG,WSSV Mekong Delta shrimp,local,WSSV + Mekong Delta + shrimp,disease,disease_alias,white spot syndrome virus; bệnh đốm trắng; ĐBSCL; Đồng bằng sông Cửu Long; tôm giống; tôm thương phẩm,metadata related_disease; metadata related_location; metadata related_taxon,,Connect local Vietnamese surveillance reports with English disease abbreviations.,Local evidence should be ranked above generic WSSV manuals.,false,
BI_001,biosecurity trong hatchery tôm thẻ chân trắng,biosecurity-management,Tôm thẻ chân trắng,taxon,taxon_alias,Pacific white shrimp; Penaeus vannamei; Litopenaeus vannamei; white shrimp,skos:altLabel; skos:prefLabel,biosecurity trong hatchery tôm thẻ chân trắng Pacific white shrimp Penaeus vannamei Litopenaeus vannamei white shrimp,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
BI_001,biosecurity trong hatchery tôm thẻ chân trắng,biosecurity-management,Tôm thẻ chân trắng,taxon,location_parent,Ven biển Khánh Hòa; Khanh Hoa coastal waters; coastal khanh hoa; khanh hoa; Ven biển Ninh Thuận; Ninh Thuan coastal waters,ontology relation isFoundIn,biosecurity trong hatchery tôm thẻ chân trắng Ven biển Khánh Hòa Khanh Hoa coastal waters coastal khanh hoa khanh hoa,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
BI_001,biosecurity trong hatchery tôm thẻ chân trắng,biosecurity-management,An toàn sinh học,topic,topic_alias,Biosecurity,skos:altLabel; skos:prefLabel,biosecurity trong hatchery tôm thẻ chân trắng Biosecurity,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
BI_001,biosecurity trong hatchery tôm thẻ chân trắng,biosecurity-management,An toàn sinh học,topic,disease_to_prevention,Infectious myonecrosis; IMN; IMNV disease; infectious myonecrosis virus disease; Bệnh hoại tử gan tụy cấp; AHPND; Acute Hepatopancreatic Necrosis Disease; Bệnh đốm trắng,ontology relation recommendedPrevention,biosecurity trong hatchery tôm thẻ chân trắng Infectious myonecrosis IMN IMNV disease infectious myonecrosis virus disease,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
BI_004,Progressive Management Pathway nuôi trồng an toàn sinh học FAO,biosecurity-management,Nuôi trồng,production_mode,production_mode_alias,Aquaculture; shrimp aquaculture; hatchery aquaculture,skos:altLabel; skos:prefLabel,Progressive Management Pathway nuôi trồng an toàn sinh học FAO Aquaculture shrimp aquaculture hatchery aquaculture,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
BI_004,Progressive Management Pathway nuôi trồng an toàn sinh học FAO,biosecurity-management,An toàn sinh học,topic,topic_alias,Biosecurity,skos:altLabel; skos:prefLabel,Progressive Management Pathway nuôi trồng an toàn sinh học FAO Biosecurity,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
BI_004,Progressive Management Pathway nuôi trồng an toàn sinh học FAO,biosecurity-management,An toàn sinh học,topic,disease_to_prevention,Infectious myonecrosis; IMN; IMNV disease; infectious myonecrosis virus disease; Bệnh hoại tử gan tụy cấp; AHPND; Acute Hepatopancreatic Necrosis Disease; Bệnh đốm trắng,ontology relation recommendedPrevention,Progressive Management Pathway nuôi trồng an toàn sinh học FAO Infectious myonecrosis IMN IMNV disease infectious myonecrosis virus disease,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
BI_006,phân tích rủi ro nuôi trồng thủy sản áp dụng thực tiễn,biosecurity-management,Nuôi trồng,production_mode,production_mode_alias,Aquaculture; shrimp aquaculture; hatchery aquaculture,skos:altLabel; skos:prefLabel,phân tích rủi ro nuôi trồng thủy sản áp dụng thực tiễn Aquaculture shrimp aquaculture hatchery aquaculture,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
DS_001,bệnh AHPND trên tôm,disease-specific,Bệnh hoại tử gan tụy cấp,disease,disease_alias,AHPND; Acute Hepatopancreatic Necrosis Disease,skos:altLabel; skos:prefLabel,bệnh AHPND trên tôm AHPND Acute Hepatopancreatic Necrosis Disease,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
DS_001,bệnh AHPND trên tôm,disease-specific,Bệnh hoại tử gan tụy cấp,disease,disease_to_pathogen,Vi khuẩn Vibrio parahaemolyticus; Vibrio parahaemolyticus,ontology relation causedBy,bệnh AHPND trên tôm Vi khuẩn Vibrio parahaemolyticus Vibrio parahaemolyticus,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
DS_001,bệnh AHPND trên tôm,disease-specific,Bệnh hoại tử gan tụy cấp,disease,disease_to_symptom,Bỏ ăn; Anorexia; Gan tụy bất thường; Lờ đờ; Lethargy,ontology relation hasSymptom,bệnh AHPND trên tôm Bỏ ăn Anorexia Gan tụy bất thường Lờ đờ,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
DS_001,bệnh AHPND trên tôm,disease-specific,Bệnh hoại tử gan tụy cấp,disease,disease_to_prevention,An toàn sinh học; Biosecurity; Giống sạch bệnh (SPF); Use SPF seed,ontology relation recommendedPrevention,bệnh AHPND trên tôm An toàn sinh học Biosecurity Giống sạch bệnh (SPF) Use SPF seed,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
DS_001,bệnh AHPND trên tôm,disease-specific,Bệnh hoại tử gan tụy cấp,disease,disease_to_treatment,Tăng sục khí; Improve aeration; Thay nước; Water exchange,ontology relation recommendedTreatment,bệnh AHPND trên tôm Tăng sục khí Improve aeration Thay nước Water exchange,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
DS_002,bệnh đốm trắng ở tôm thẻ chân trắng,disease-specific,Bệnh đốm trắng,disease,disease_alias,WSD; White spot disease; WSSV,skos:altLabel; skos:prefLabel,bệnh đốm trắng ở tôm thẻ chân trắng WSD White spot disease WSSV,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
DS_002,bệnh đốm trắng ở tôm thẻ chân trắng,disease-specific,Bệnh đốm trắng,disease,disease_to_pathogen,Virus đốm trắng (WSSV); WSSV; White Spot Syndrome Virus,ontology relation causedBy,bệnh đốm trắng ở tôm thẻ chân trắng Virus đốm trắng (WSSV) WSSV White Spot Syndrome Virus,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
DS_002,bệnh đốm trắng ở tôm thẻ chân trắng,disease-specific,Bệnh đốm trắng,disease,disease_to_symptom,Bỏ ăn; Anorexia; Lờ đờ; Lethargy; Đốm trắng; White spot,ontology relation hasSymptom,bệnh đốm trắng ở tôm thẻ chân trắng Bỏ ăn Anorexia Lờ đờ Lethargy,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
DS_002,bệnh đốm trắng ở tôm thẻ chân trắng,disease-specific,Bệnh đốm trắng,disease,disease_to_prevention,An toàn sinh học; Biosecurity; Giống sạch bệnh (SPF); Use SPF seed,ontology relation recommendedPrevention,bệnh đốm trắng ở tôm thẻ chân trắng An toàn sinh học Biosecurity Giống sạch bệnh (SPF) Use SPF seed,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
DS_002,bệnh đốm trắng ở tôm thẻ chân trắng,disease-specific,Bệnh đốm trắng,disease,disease_to_treatment,Tăng sục khí; Improve aeration; Thay nước; Water exchange,ontology relation recommendedTreatment,bệnh đốm trắng ở tôm thẻ chân trắng Tăng sục khí Improve aeration Thay nước Water exchange,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
DS_002,bệnh đốm trắng ở tôm thẻ chân trắng,disease-specific,Tôm thẻ chân trắng,taxon,taxon_alias,Pacific white shrimp; Penaeus vannamei; Litopenaeus vannamei; white shrimp,skos:altLabel; skos:prefLabel,bệnh đốm trắng ở tôm thẻ chân trắng Pacific white shrimp Penaeus vannamei Litopenaeus vannamei white shrimp,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
DS_002,bệnh đốm trắng ở tôm thẻ chân trắng,disease-specific,Tôm thẻ chân trắng,taxon,location_parent,Ven biển Khánh Hòa; Khanh Hoa coastal waters; coastal khanh hoa; khanh hoa; Ven biển Ninh Thuận; Ninh Thuan coastal waters,ontology relation isFoundIn,bệnh đốm trắng ở tôm thẻ chân trắng Ven biển Khánh Hòa Khanh Hoa coastal waters coastal khanh hoa khanh hoa,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
DS_003,infectious myonecrosis,disease-specific,Infectious myonecrosis,disease,disease_alias,IMN; IMNV disease; infectious myonecrosis virus disease; shrimp infectious myonecrosis; IMNV; infectious myonecrosis virus,skos:altLabel; skos:prefLabel,infectious myonecrosis IMN IMNV disease infectious myonecrosis virus disease shrimp infectious myonecrosis,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
DS_003,infectious myonecrosis,disease-specific,Infectious myonecrosis,disease,disease_to_pathogen,Infectious myonecrosis virus; IMNV,ontology relation causedBy,infectious myonecrosis Infectious myonecrosis virus IMNV,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
DS_003,infectious myonecrosis,disease-specific,Infectious myonecrosis,disease,disease_to_symptom,Lờ đờ; Lethargy,ontology relation hasSymptom,infectious myonecrosis Lờ đờ Lethargy,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
DS_003,infectious myonecrosis,disease-specific,Infectious myonecrosis,disease,disease_to_prevention,An toàn sinh học; Biosecurity,ontology relation recommendedPrevention,infectious myonecrosis An toàn sinh học Biosecurity,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
DS_006,bệnh vi bào tử trùng gan tụy EHP trên tôm,disease-specific,EHP,disease,disease_alias,Enterocytozoon hepatopenaei; Ecytonucleospora hepatopenaei,skos:altLabel; skos:prefLabel,bệnh vi bào tử trùng gan tụy EHP trên tôm Enterocytozoon hepatopenaei Ecytonucleospora hepatopenaei,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
DS_010,tình hình AHPND trên tôm nuôi ở Philippines,disease-specific,Bệnh hoại tử gan tụy cấp,disease,disease_alias,AHPND; Acute Hepatopancreatic Necrosis Disease,skos:altLabel; skos:prefLabel,tình hình AHPND trên tôm nuôi ở Philippines AHPND Acute Hepatopancreatic Necrosis Disease,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
DS_010,tình hình AHPND trên tôm nuôi ở Philippines,disease-specific,Bệnh hoại tử gan tụy cấp,disease,disease_to_pathogen,Vi khuẩn Vibrio parahaemolyticus; Vibrio parahaemolyticus,ontology relation causedBy,tình hình AHPND trên tôm nuôi ở Philippines Vi khuẩn Vibrio parahaemolyticus Vibrio parahaemolyticus,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
DS_010,tình hình AHPND trên tôm nuôi ở Philippines,disease-specific,Bệnh hoại tử gan tụy cấp,disease,disease_to_symptom,Bỏ ăn; Anorexia; Gan tụy bất thường; Lờ đờ; Lethargy,ontology relation hasSymptom,tình hình AHPND trên tôm nuôi ở Philippines Bỏ ăn Anorexia Gan tụy bất thường Lờ đờ,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
DS_010,tình hình AHPND trên tôm nuôi ở Philippines,disease-specific,Bệnh hoại tử gan tụy cấp,disease,disease_to_prevention,An toàn sinh học; Biosecurity; Giống sạch bệnh (SPF); Use SPF seed,ontology relation recommendedPrevention,tình hình AHPND trên tôm nuôi ở Philippines An toàn sinh học Biosecurity Giống sạch bệnh (SPF) Use SPF seed,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
DS_010,tình hình AHPND trên tôm nuôi ở Philippines,disease-specific,Bệnh hoại tử gan tụy cấp,disease,disease_to_treatment,Tăng sục khí; Improve aeration; Thay nước; Water exchange,ontology relation recommendedTreatment,tình hình AHPND trên tôm nuôi ở Philippines Tăng sục khí Improve aeration Thay nước Water exchange,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
DS_010,tình hình AHPND trên tôm nuôi ở Philippines,disease-specific,Philippines,location,location_alias,The Philippines,skos:altLabel; skos:prefLabel,tình hình AHPND trên tôm nuôi ở Philippines The Philippines,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
HM_001,production mode trại giống tôm thẻ chân trắng,hatchery-production-mode,Tôm thẻ chân trắng,taxon,taxon_alias,Pacific white shrimp; Penaeus vannamei; Litopenaeus vannamei; white shrimp,skos:altLabel; skos:prefLabel,production mode trại giống tôm thẻ chân trắng Pacific white shrimp Penaeus vannamei Litopenaeus vannamei white shrimp,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
HM_001,production mode trại giống tôm thẻ chân trắng,hatchery-production-mode,Tôm thẻ chân trắng,taxon,location_parent,Ven biển Khánh Hòa; Khanh Hoa coastal waters; coastal khanh hoa; khanh hoa; Ven biển Ninh Thuận; Ninh Thuan coastal waters,ontology relation isFoundIn,production mode trại giống tôm thẻ chân trắng Ven biển Khánh Hòa Khanh Hoa coastal waters coastal khanh hoa khanh hoa,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
HM_002,tài liệu về trại giống tôm sú ở Ấn Độ,hatchery-production-mode,Tôm sú,taxon,taxon_alias,Black Tiger Prawn; Penaeus monodon,skos:altLabel; skos:prefLabel,tài liệu về trại giống tôm sú ở Ấn Độ Black Tiger Prawn Penaeus monodon,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
HM_002,tài liệu về trại giống tôm sú ở Ấn Độ,hatchery-production-mode,Tôm sú,taxon,location_parent,Vùng biển miền Trung; Central Coast Sea of Vietnam,ontology relation isFoundIn,tài liệu về trại giống tôm sú ở Ấn Độ Vùng biển miền Trung Central Coast Sea of Vietnam,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
HM_002,tài liệu về trại giống tôm sú ở Ấn Độ,hatchery-production-mode,Ấn Độ,location,location_alias,India,skos:altLabel; skos:prefLabel,tài liệu về trại giống tôm sú ở Ấn Độ India,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
HM_007,trại giống tôm nước mặn quy mô nhỏ Ấn Độ Bangladesh,hatchery-production-mode,Ấn Độ,location,location_alias,India,skos:altLabel; skos:prefLabel,trại giống tôm nước mặn quy mô nhỏ Ấn Độ Bangladesh India,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
LO_001,nuôi tôm hùm ở Khánh Hòa,local,Tôm hùm bông,taxon,taxon_alias,Ornate spiny lobster; Panulirus ornatus; lobster; mud spiny lobster; tom hum,skos:altLabel; skos:prefLabel,nuôi tôm hùm ở Khánh Hòa Ornate spiny lobster Panulirus ornatus lobster mud spiny lobster,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
LO_001,nuôi tôm hùm ở Khánh Hòa,local,Tôm hùm bông,taxon,location_parent,Ven biển Khánh Hòa; Khanh Hoa coastal waters; coastal khanh hoa; khanh hoa; Ven biển Phú Yên; Phu Yen coastal waters,ontology relation isFoundIn,nuôi tôm hùm ở Khánh Hòa Ven biển Khánh Hòa Khanh Hoa coastal waters coastal khanh hoa khanh hoa,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
LO_001,nuôi tôm hùm ở Khánh Hòa,local,Ven biển Khánh Hòa,location,location_alias,Khanh Hoa coastal waters; coastal khanh hoa; khanh hoa,skos:altLabel; skos:prefLabel,nuôi tôm hùm ở Khánh Hòa Khanh Hoa coastal waters coastal khanh hoa khanh hoa,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
LO_001,nuôi tôm hùm ở Khánh Hòa,local,Ven biển Khánh Hòa,location,location_parent,Tôm thẻ chân trắng; Pacific white shrimp; Penaeus vannamei; Litopenaeus vannamei; Cá bớp; Cobia; Rachycentron canadum; Tôm hùm bông,ontology relation isFoundIn,nuôi tôm hùm ở Khánh Hòa Tôm thẻ chân trắng Pacific white shrimp Penaeus vannamei Litopenaeus vannamei,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
