path,category,reason,confidence,superseded_by,size_bytes,modified_time
data/eval/final_active_files_manifest.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,3595,2026-05-03T16:16:18
data/eval/final_freeze_report.md,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,5547,2026-05-09T15:38:00
data/eval/final_query_set.csv,ASK_BEFORE_ARCHIVE,"Older/general query-set file; core and extended sets are current, but confirm before archiving.",medium,data/eval/final_query_set_core.csv; data/eval/final_query_set_extended.csv,16088,2026-05-03T13:29:13
data/eval/final_query_set_core.csv,NEVER_TOUCH,Final runtime/evaluation source-of-truth explicitly protected from archive proposals.,high,,8582,2026-05-03T13:29:13
data/eval/final_query_set_extended.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,39613,2026-05-27T10:12:35
data/eval/final_query_set_notes.md,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,3632,2026-05-03T13:29:23
data/eval/metrics/baseline_latency_per_query.csv,KEEP_FINAL,Current final report/figure/metric artifact used for the main submission package.,high,,4892,2026-05-09T15:36:57
data/eval/metrics/baseline_latency_summary.csv,NEVER_TOUCH,Final runtime/evaluation source-of-truth explicitly protected from archive proposals.,high,,2575,2026-05-09T15:36:57
data/eval/metrics/baseline_metrics_by_group.csv,NEVER_TOUCH,Final runtime/evaluation source-of-truth explicitly protected from archive proposals.,high,,2744,2026-05-21T19:40:22
data/eval/metrics/baseline_metrics_by_group_extended.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,6128,2026-05-27T10:15:54
data/eval/metrics/baseline_metrics_by_group_plus.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,5336,2026-05-27T10:24:50
data/eval/metrics/baseline_metrics_by_query_extended.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,114008,2026-05-27T10:15:54
data/eval/metrics/baseline_metrics_by_query_plus.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,31956,2026-05-27T10:24:50
data/eval/metrics/baseline_metrics_per_query.csv,KEEP_FINAL,Current final report/figure/metric artifact used for the main submission package.,high,,31548,2026-05-21T19:40:22
data/eval/metrics/baseline_metrics_summary.csv,NEVER_TOUCH,Final runtime/evaluation source-of-truth explicitly protected from archive proposals.,high,,1267,2026-05-21T19:40:22
data/eval/metrics/baseline_metrics_summary_extended.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,1189,2026-05-27T10:15:54
data/eval/metrics/baseline_metrics_summary_plus.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,1217,2026-05-27T10:24:50
data/eval/metrics/compute_core_metrics.py,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,14098,2026-05-21T19:42:21
data/eval/metrics/hybrid_candidate_fusion_metrics_by_group.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,2841,2026-05-27T09:51:58
data/eval/metrics/hybrid_candidate_fusion_metrics_by_query.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,16639,2026-05-27T09:51:58
data/eval/metrics/hybrid_candidate_fusion_metrics_summary.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,650,2026-05-27T09:51:58
data/eval/metrics/kg_ablation_metrics_by_group.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,4836,2026-05-27T10:41:17
data/eval/metrics/kg_ablation_metrics_by_query.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,27789,2026-05-27T10:41:17
data/eval/metrics/kg_ablation_metrics_summary.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,999,2026-05-27T10:41:17
data/eval/metrics/metrics_notes.md,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,10637,2026-05-05T18:42:47
data/eval/project_final_readiness_check.md,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,4038,2026-05-11T19:55:57
data/eval/relevance_guidelines_core.md,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,8769,2026-05-12T20:41:10
data/eval/relevance_judgments_core.csv,NEVER_TOUCH,Final runtime/evaluation source-of-truth explicitly protected from archive proposals.,high,,67133,2026-05-03T13:54:14
data/eval/relevance_judgments_core_summary.md,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,1204,2026-05-03T13:58:19
data/eval/relevance_judgments_extended.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,1250368,2026-05-27T10:15:54
data/eval/results/baseline_hybrid_candidate_fusion_core.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,259666,2026-05-27T09:51:58
data/eval/results/baseline_hybrid_candidate_fusion_extended.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,894380,2026-05-27T10:15:43
data/eval/results/baseline_hybrid_core.csv,NEVER_TOUCH,Final runtime/evaluation source-of-truth explicitly protected from archive proposals.,high,,102387,2026-05-09T15:33:31
data/eval/results/baseline_hybrid_extended.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,344465,2026-05-27T10:15:43
data/eval/results/baseline_lexical_core.csv,NEVER_TOUCH,Final runtime/evaluation source-of-truth explicitly protected from archive proposals.,high,,103963,2026-05-09T15:33:31
data/eval/results/baseline_lexical_extended.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,351784,2026-05-27T10:15:43
data/eval/results/baseline_ontology_sparql_core.csv,NEVER_TOUCH,Final runtime/evaluation source-of-truth explicitly protected from archive proposals.,high,,105698,2026-05-09T15:33:31
data/eval/results/baseline_ontology_sparql_extended.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,359839,2026-05-27T10:15:43
data/eval/results/baseline_vector_core.csv,NEVER_TOUCH,Final runtime/evaluation source-of-truth explicitly protected from archive proposals.,high,,113075,2026-05-09T15:33:31
data/eval/results/baseline_vector_extended.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,385730,2026-05-27T10:15:43
data/eval/results/baseline_vector_metadata_core.csv,NEVER_TOUCH,Final runtime/evaluation source-of-truth explicitly protected from archive proposals.,high,,115214,2026-05-09T15:33:31
data/eval/results/baseline_vector_metadata_extended.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,389358,2026-05-27T10:15:43
data/eval/results/baseline_vector_metadata_kg_no_intent_core.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,135000,2026-05-21T19:40:11
data/eval/results/kg_ablation_results_core.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,569320,2026-05-27T10:41:17
data/eval/results/results_generation_notes.md,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,3510,2026-05-09T15:33:31
data/metadata/archive/document_metadata.xlsx.bak_20260330_212917,ARCHIVE_CANDIDATE,"Already located under an archive folder; keep excluded from the final submission package, no move/delete performed.",high,,21611,2026-03-22T20:45:39
data/metadata/archive/document_metadata_cleaned_before_round2A.xlsx,ARCHIVE_CANDIDATE,"Already located under an archive folder; keep excluded from the final submission package, no move/delete performed.",high,,42059,2026-04-18T22:07:17
data/metadata/archive/document_metadata_cleaned_before_round4.xlsx,ARCHIVE_CANDIDATE,"Already located under an archive folder; keep excluded from the final submission package, no move/delete performed.",high,,42059,2026-04-18T22:07:17
data/metadata/document_metadata.xlsx,ASK_BEFORE_ARCHIVE,"Original metadata workbook; cleaned workbook is final, but original source should be confirmed before archiving.",medium,data/metadata/document_metadata_cleaned.xlsx,21611,2026-03-22T20:45:39
data/metadata/document_metadata_cleaned.xlsx,NEVER_TOUCH,Final runtime/evaluation source-of-truth explicitly protected from archive proposals.,high,,41497,2026-04-19T00:38:00
data/ontology/archive/manual_cleanup_202606/mapping_report_round8_facts_v2.csv,ARCHIVE_CANDIDATE,"Already located under an archive folder; keep excluded from the final submission package, no move/delete performed.",high,,155867,2026-04-18T23:12:44
data/ontology/archive/manual_cleanup_202606/mapping_report_round8_taxonowl.csv,ARCHIVE_CANDIDATE,"Already located under an archive folder; keep excluded from the final submission package, no move/delete performed.",high,,151474,2026-04-18T23:12:37
data/ontology/archive/manual_cleanup_202606/taxon.owl.bak_20260418_231237,ARCHIVE_CANDIDATE,"Already located under an archive folder; keep excluded from the final submission package, no move/delete performed.",high,,67767,2026-04-18T23:08:13
data/ontology/archive/manual_cleanup_202606/taxon.owl.bak_round6_location_enrichment,ARCHIVE_CANDIDATE,"Already located under an archive folder; keep excluded from the final submission package, no move/delete performed.",high,,64679,2026-03-13T16:46:38
data/ontology/archive/manual_cleanup_202606/taxon.owl.bak_round7_camranh_disambiguation,ARCHIVE_CANDIDATE,"Already located under an archive folder; keep excluded from the final submission package, no move/delete performed.",high,,67829,2026-04-18T23:05:26
data/ontology/archive/manual_cleanup_202606/taxon.owl.bak_round8_before_sync,ARCHIVE_CANDIDATE,"Already located under an archive folder; keep excluded from the final submission package, no move/delete performed.",high,,67767,2026-04-18T23:08:13
data/ontology/archive/manual_cleanup_202606/taxon_enriched_facts_v2.owl.bak_20260418_231244,ARCHIVE_CANDIDATE,"Already located under an archive folder; keep excluded from the final submission package, no move/delete performed.",high,,161367,2026-04-18T23:08:19
data/ontology/archive/manual_cleanup_202606/taxon_enriched_facts_v2.owl.bak_round6_location_enrichment,ARCHIVE_CANDIDATE,"Already located under an archive folder; keep excluded from the final submission package, no move/delete performed.",high,,158686,2026-04-05T23:27:03
data/ontology/archive/manual_cleanup_202606/taxon_enriched_facts_v2.owl.bak_round7_camranh_disambiguation,ARCHIVE_CANDIDATE,"Already located under an archive folder; keep excluded from the final submission package, no move/delete performed.",high,,161425,2026-04-18T23:04:53
data/ontology/archive/manual_cleanup_202606/taxon_enriched_facts_v2.owl.bak_round8_before_sync,ARCHIVE_CANDIDATE,"Already located under an archive folder; keep excluded from the final submission package, no move/delete performed.",high,,161367,2026-04-18T23:08:19
data/ontology/mapping_report.csv,ASK_BEFORE_ARCHIVE,Ontology mapping/provenance report may still be useful; ask before archiving.,medium,data/ontology/taxon_enriched_facts_v2.owl,135182,2026-04-01T20:28:06
data/ontology/taxon.owl,ASK_BEFORE_ARCHIVE,Base ontology source may be needed for provenance/regeneration; ask before archiving.,medium,data/ontology/taxon_enriched_facts_v2.owl,155078,2026-04-18T23:12:37
data/ontology/taxon_enriched.owl,ARCHIVE_CANDIDATE,Older ontology enrichment variant; final runtime ontology is taxon_enriched_facts_v2.owl.,medium,data/ontology/taxon_enriched_facts_v2.owl,141708,2026-04-01T20:28:06
data/ontology/taxon_enriched_aliases.owl,ARCHIVE_CANDIDATE,Older ontology enrichment variant; final runtime ontology is taxon_enriched_facts_v2.owl.,medium,data/ontology/taxon_enriched_facts_v2.owl,142280,2026-04-01T20:41:48
data/ontology/taxon_enriched_facts.owl,ARCHIVE_CANDIDATE,Older ontology enrichment variant; final runtime ontology is taxon_enriched_facts_v2.owl.,medium,data/ontology/taxon_enriched_facts_v2.owl,142693,2026-04-01T20:44:47
data/ontology/taxon_enriched_facts_v2.owl,NEVER_TOUCH,Final runtime/evaluation source-of-truth explicitly protected from archive proposals.,high,,185160,2026-04-25T21:58:26
data/ontology/taxon_enriched_semantic.owl,ARCHIVE_CANDIDATE,Older ontology enrichment variant; final runtime ontology is taxon_enriched_facts_v2.owl.,medium,data/ontology/taxon_enriched_facts_v2.owl,145327,2026-04-01T20:42:03
data/raw_docs/BIOLOGY_001_biology13100758.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,3656901,2026-03-31T21:13:55
data/raw_docs/FAO_001_cb2119en.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,2837382,2026-03-12T15:20:28
data/raw_docs/FAO_002_a1152e.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,3581648,2026-03-12T15:27:31
data/raw_docs/FAO_003_ca2976en.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,6691426,2026-03-12T15:39:10
data/raw_docs/FAO_004_cc6858en.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,34677269,2026-03-12T15:47:08
data/raw_docs/FAO_005_y5040e.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,392844,2026-03-12T17:29:33
data/raw_docs/FAO_006_bt131e.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,2438802,2026-03-18T20:34:34
data/raw_docs/FAO_007_cd8164en.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,1235572,2026-03-18T21:34:19
data/raw_docs/FAO_008_cb8926en.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,3368163,2026-03-18T21:41:17
data/raw_docs/FAO_009_y1679e.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,3475127,2026-03-18T21:39:29
data/raw_docs/FAO_010_ca6052en.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,2857806,2026-03-18T21:44:59
data/raw_docs/FAO_011_ad824e.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,238076,2026-03-18T21:49:09
data/raw_docs/FAO_012_ad505e.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,672185,2026-03-18T21:50:57
data/raw_docs/FAO_013_y5325e.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,538879,2026-03-18T21:53:26
data/raw_docs/FAO_014_cd8658en.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,409149,2026-03-18T22:02:55
data/raw_docs/FAO_015_t0411e.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,534703,2026-03-18T22:04:56
data/raw_docs/FAO_016_cd7559en.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,2637352,2026-03-18T22:08:52
data/raw_docs/FAO_017_ca7588en.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,34994958,2026-03-18T22:11:22
data/raw_docs/FAO_018_t1623e.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,870732,2026-03-18T22:12:47
data/raw_docs/FAO_019_i0490e.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,4521107,2026-03-18T22:14:19
data/raw_docs/FAO_020_i2571e.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,4048265,2026-03-18T22:15:48
data/raw_docs/FAO_021_cd8667en.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,1976309,2026-03-18T22:18:19
data/raw_docs/FAO_022_i1750e.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,1804971,2026-03-18T22:19:42
data/raw_docs/FAO_023_i0970e.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,7120652,2026-03-18T22:21:39
data/raw_docs/FAO_024_u3100e.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,335212,2026-03-18T22:23:21
data/raw_docs/FAO_025_a0366e.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,1078825,2026-03-18T22:24:25
data/raw_docs/FAO_026_br813e.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,366409,2026-03-18T22:25:47
data/raw_docs/FAO_027_cd6476en.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,1950755,2026-03-18T22:30:49
data/raw_docs/FAO_028_i3569e.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,2583818,2026-03-18T22:32:23
data/raw_docs/FAO_029_i9705en.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,16659485,2026-03-18T22:33:45
data/raw_docs/FAO_031_cd8563en.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,9202961,2026-03-18T22:38:01
data/raw_docs/FAO_032_cd8633en.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,430307,2026-03-18T22:39:03
data/raw_docs/FAO_033_cc6625en.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,5923373,2026-03-18T22:40:17
data/raw_docs/FAO_034_ca2705en.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,555647,2026-03-18T22:44:02
data/raw_docs/FAO_035_w3594e.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,526773,2026-03-18T22:49:35
data/raw_docs/FAO_036_i1137e.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,1713567,2026-03-18T22:52:19
data/raw_docs/FAO_037_na265en.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,683985,2026-03-18T22:56:17
data/raw_docs/FAO_038_ca6702en.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,861870,2026-03-18T22:59:36
data/raw_docs/FAO_039_ad893e.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,633135,2026-03-18T23:03:32
data/raw_docs/FAO_040_i8064en.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,3778749,2026-03-18T23:04:48
data/raw_docs/FAO_041_cd3785en.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,2206169,2026-03-18T23:07:11
data/raw_docs/FAO_042_biosecurity_philippines.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,4655063,2026-04-01T16:35:09
data/raw_docs/FAO_042_i3720e.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,8839521,2026-03-18T23:11:04
data/raw_docs/FAO_043_boosting_biosecurity_peru.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,614195,2026-04-01T16:37:25
data/raw_docs/FAO_044_i2734e03i.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,4882582,2026-04-01T17:05:29
data/raw_docs/FAO_045_ca6163en.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,520499,2026-04-01T17:15:50
data/raw_docs/IJMS_001_ijms26178478.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,4165432,2026-03-31T21:12:08
data/raw_docs/NACA_001_1737869839.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,56312263,2026-03-31T15:14:44
data/raw_docs/NACA_002_1749824700.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,1162852,2026-03-31T15:16:26
data/raw_docs/NACA_003_1494554353.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,2425728,2026-03-31T15:19:20
data/raw_docs/PLOS_001_pone.0091930.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,1783090,2026-03-31T21:15:21
data/raw_docs/PMC_001_PMC10820212.pdf,NEVER_TOUCH,Raw source document corpus used to build/search the project; do not archive without explicit data-package decision.,high,,825771,2026-04-01T17:21:10
