candidate_id,rule_group,rule_name,subject_type,subject_id,predicate,object_type,object_id,source_evidence,confidence_level,should_assert,reason_not_asserted,example_query_ids_if_relevant,note
SRC_0020,document-level safe facts / safe evidence,document_inherits_pathogen_context_from_aboutDisease,document,BIOLOGY_001,candidateHasPathogenContext,pathogen,Virus đốm trắng (WSSV),BIOLOGY_001 aboutDisease WhiteSpotDisease; WhiteSpotDisease causedBy WSSV,medium,false,candidate only; manual review required,BI_001;DS_002;DS_007;HM_001;HM_010;SL_002;SL_004;SL_007,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0021,document-level safe facts / safe evidence,document_inherits_symptom_context_from_aboutDisease,document,BIOLOGY_001,candidateHasSymptomContext,symptom,Lờ đờ,BIOLOGY_001 aboutDisease WhiteSpotDisease; WhiteSpotDisease hasSymptom Letargy,medium,false,candidate only; manual review required,BI_001;DS_002;DS_007;HM_001;HM_010;SL_002;SL_004;SL_007,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0022,document-level safe facts / safe evidence,document_inherits_symptom_context_from_aboutDisease,document,BIOLOGY_001,candidateHasSymptomContext,symptom,Bỏ ăn,BIOLOGY_001 aboutDisease WhiteSpotDisease; WhiteSpotDisease hasSymptom Anorexia,medium,false,candidate only; manual review required,BI_001;DS_002;DS_007;HM_001;HM_010;SL_002;SL_004;SL_007,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0023,document-level safe facts / safe evidence,document_inherits_symptom_context_from_aboutDisease,document,BIOLOGY_001,candidateHasSymptomContext,symptom,Đốm trắng,BIOLOGY_001 aboutDisease WhiteSpotDisease; WhiteSpotDisease hasSymptom WhiteSpot,medium,false,candidate only; manual review required,BI_001;DS_002;DS_007;HM_001;HM_010;SL_002;SL_004;SL_007,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0024,document-level safe facts / safe evidence,document_inherits_prevention_context_from_aboutDisease,document,BIOLOGY_001,candidateHasPreventionContext,prevention,An toàn sinh học,BIOLOGY_001 aboutDisease WhiteSpotDisease; WhiteSpotDisease recommendedPrevention Biosecurity,medium,false,candidate only; manual review required,BI_001;DS_002;DS_007;HM_001;HM_010;SL_002;SL_004;SL_007,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0025,document-level safe facts / safe evidence,document_inherits_prevention_context_from_aboutDisease,document,BIOLOGY_001,candidateHasPreventionContext,prevention,Giống sạch bệnh (SPF),BIOLOGY_001 aboutDisease WhiteSpotDisease; WhiteSpotDisease recommendedPrevention UseSPFSeed,medium,false,candidate only; manual review required,BI_001;DS_002;DS_007;HM_001;HM_010;SL_002;SL_004;SL_007,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0026,document-level safe facts / safe evidence,document_inherits_treatment_context_from_aboutDisease,document,BIOLOGY_001,candidateHasTreatmentContext,treatment,Tăng sục khí,BIOLOGY_001 aboutDisease WhiteSpotDisease; WhiteSpotDisease recommendedTreatment ImproveAeration,medium,false,candidate only; manual review required,BI_001;DS_002;DS_007;HM_001;HM_010;SL_002;SL_004;SL_007,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0027,document-level safe facts / safe evidence,document_inherits_treatment_context_from_aboutDisease,document,BIOLOGY_001,candidateHasTreatmentContext,treatment,Thay nước,BIOLOGY_001 aboutDisease WhiteSpotDisease; WhiteSpotDisease recommendedTreatment WaterExchange,medium,false,candidate only; manual review required,BI_001;DS_002;DS_007;HM_001;HM_010;SL_002;SL_004;SL_007,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0028,document-level safe facts / safe evidence,document_inherits_pathogen_context_from_aboutDisease,document,FAO_001,candidateHasPathogenContext,pathogen,Vi khuẩn Vibrio parahaemolyticus,FAO_001 aboutDisease AHPND; AHPND causedBy Vibrio_parahaemolyticus,medium,false,candidate only; manual review required,DS_007,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0029,document-level safe facts / safe evidence,document_inherits_symptom_context_from_aboutDisease,document,FAO_001,candidateHasSymptomContext,symptom,Lờ đờ,FAO_001 aboutDisease AHPND; AHPND hasSymptom Letargy,medium,false,candidate only; manual review required,,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0030,document-level safe facts / safe evidence,document_inherits_symptom_context_from_aboutDisease,document,FAO_001,candidateHasSymptomContext,symptom,Bỏ ăn,FAO_001 aboutDisease AHPND; AHPND hasSymptom Anorexia,medium,false,candidate only; manual review required,,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0031,document-level safe facts / safe evidence,document_inherits_symptom_context_from_aboutDisease,document,FAO_001,candidateHasSymptomContext,symptom,Gan tụy bất thường,FAO_001 aboutDisease AHPND; AHPND hasSymptom GanTuyBatThuong,medium,false,candidate only; manual review required,,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0032,document-level safe facts / safe evidence,document_inherits_prevention_context_from_aboutDisease,document,FAO_001,candidateHasPreventionContext,prevention,An toàn sinh học,FAO_001 aboutDisease AHPND; AHPND recommendedPrevention Biosecurity,medium,false,candidate only; manual review required,,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0033,document-level safe facts / safe evidence,document_inherits_prevention_context_from_aboutDisease,document,FAO_001,candidateHasPreventionContext,prevention,Giống sạch bệnh (SPF),FAO_001 aboutDisease AHPND; AHPND recommendedPrevention UseSPFSeed,medium,false,candidate only; manual review required,,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0034,document-level safe facts / safe evidence,document_inherits_treatment_context_from_aboutDisease,document,FAO_001,candidateHasTreatmentContext,treatment,Tăng sục khí,FAO_001 aboutDisease AHPND; AHPND recommendedTreatment ImproveAeration,medium,false,candidate only; manual review required,,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0035,document-level safe facts / safe evidence,document_inherits_treatment_context_from_aboutDisease,document,FAO_001,candidateHasTreatmentContext,treatment,Thay nước,FAO_001 aboutDisease AHPND; AHPND recommendedTreatment WaterExchange,medium,false,candidate only; manual review required,,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0036,document-level safe facts / safe evidence,document_inherits_pathogen_context_from_aboutDisease,document,FAO_003,candidateHasPathogenContext,pathogen,Vi khuẩn Vibrio parahaemolyticus,FAO_003 aboutDisease AHPND; AHPND causedBy Vibrio_parahaemolyticus,medium,false,candidate only; manual review required,DS_001;DS_010;LO_002;DS_007,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0037,document-level safe facts / safe evidence,document_inherits_symptom_context_from_aboutDisease,document,FAO_003,candidateHasSymptomContext,symptom,Lờ đờ,FAO_003 aboutDisease AHPND; AHPND hasSymptom Letargy,medium,false,candidate only; manual review required,DS_001;DS_010;LO_002,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0038,document-level safe facts / safe evidence,document_inherits_symptom_context_from_aboutDisease,document,FAO_003,candidateHasSymptomContext,symptom,Bỏ ăn,FAO_003 aboutDisease AHPND; AHPND hasSymptom Anorexia,medium,false,candidate only; manual review required,DS_001;DS_010;LO_002,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0039,document-level safe facts / safe evidence,document_inherits_symptom_context_from_aboutDisease,document,FAO_003,candidateHasSymptomContext,symptom,Gan tụy bất thường,FAO_003 aboutDisease AHPND; AHPND hasSymptom GanTuyBatThuong,medium,false,candidate only; manual review required,DS_001;DS_010;LO_002,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0040,document-level safe facts / safe evidence,document_inherits_prevention_context_from_aboutDisease,document,FAO_003,candidateHasPreventionContext,prevention,An toàn sinh học,FAO_003 aboutDisease AHPND; AHPND recommendedPrevention Biosecurity,medium,false,candidate only; manual review required,DS_001;DS_010;LO_002,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0041,document-level safe facts / safe evidence,document_inherits_prevention_context_from_aboutDisease,document,FAO_003,candidateHasPreventionContext,prevention,Giống sạch bệnh (SPF),FAO_003 aboutDisease AHPND; AHPND recommendedPrevention UseSPFSeed,medium,false,candidate only; manual review required,DS_001;DS_010;LO_002,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0042,document-level safe facts / safe evidence,document_inherits_treatment_context_from_aboutDisease,document,FAO_003,candidateHasTreatmentContext,treatment,Tăng sục khí,FAO_003 aboutDisease AHPND; AHPND recommendedTreatment ImproveAeration,medium,false,candidate only; manual review required,DS_001;DS_010;LO_002,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0043,document-level safe facts / safe evidence,document_inherits_treatment_context_from_aboutDisease,document,FAO_003,candidateHasTreatmentContext,treatment,Thay nước,FAO_003 aboutDisease AHPND; AHPND recommendedTreatment WaterExchange,medium,false,candidate only; manual review required,DS_001;DS_010;LO_002,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0044,document-level safe facts / safe evidence,document_inherits_pathogen_context_from_aboutDisease,document,FAO_006,candidateHasPathogenContext,pathogen,Vi khuẩn Vibrio parahaemolyticus,FAO_006 aboutDisease AHPND; AHPND causedBy Vibrio_parahaemolyticus,medium,false,candidate only; manual review required,DS_001;DS_010;LO_002;DS_007;SL_004,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0045,document-level safe facts / safe evidence,document_inherits_symptom_context_from_aboutDisease,document,FAO_006,candidateHasSymptomContext,symptom,Lờ đờ,FAO_006 aboutDisease AHPND; AHPND hasSymptom Letargy,medium,false,candidate only; manual review required,DS_001;DS_010;LO_002;SL_004,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0046,document-level safe facts / safe evidence,document_inherits_symptom_context_from_aboutDisease,document,FAO_006,candidateHasSymptomContext,symptom,Bỏ ăn,FAO_006 aboutDisease AHPND; AHPND hasSymptom Anorexia,medium,false,candidate only; manual review required,DS_001;DS_010;LO_002;SL_004,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0047,document-level safe facts / safe evidence,document_inherits_symptom_context_from_aboutDisease,document,FAO_006,candidateHasSymptomContext,symptom,Gan tụy bất thường,FAO_006 aboutDisease AHPND; AHPND hasSymptom GanTuyBatThuong,medium,false,candidate only; manual review required,DS_001;DS_010;LO_002;SL_004,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0048,document-level safe facts / safe evidence,document_inherits_prevention_context_from_aboutDisease,document,FAO_006,candidateHasPreventionContext,prevention,An toàn sinh học,FAO_006 aboutDisease AHPND; AHPND recommendedPrevention Biosecurity,medium,false,candidate only; manual review required,DS_001;DS_010;LO_002;SL_004,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0049,document-level safe facts / safe evidence,document_inherits_prevention_context_from_aboutDisease,document,FAO_006,candidateHasPreventionContext,prevention,Giống sạch bệnh (SPF),FAO_006 aboutDisease AHPND; AHPND recommendedPrevention UseSPFSeed,medium,false,candidate only; manual review required,DS_001;DS_010;LO_002;SL_004,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0050,document-level safe facts / safe evidence,document_inherits_treatment_context_from_aboutDisease,document,FAO_006,candidateHasTreatmentContext,treatment,Tăng sục khí,FAO_006 aboutDisease AHPND; AHPND recommendedTreatment ImproveAeration,medium,false,candidate only; manual review required,DS_001;DS_010;LO_002;SL_004,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0051,document-level safe facts / safe evidence,document_inherits_treatment_context_from_aboutDisease,document,FAO_006,candidateHasTreatmentContext,treatment,Thay nước,FAO_006 aboutDisease AHPND; AHPND recommendedTreatment WaterExchange,medium,false,candidate only; manual review required,DS_001;DS_010;LO_002;SL_004,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0052,document-level safe facts / safe evidence,document_inherits_pathogen_context_from_aboutDisease,document,FAO_010,candidateHasPathogenContext,pathogen,Infectious myonecrosis virus,FAO_010 aboutDisease IMN; IMN causedBy IMNV,medium,false,candidate only; manual review required,,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0053,document-level safe facts / safe evidence,document_inherits_symptom_context_from_aboutDisease,document,FAO_010,candidateHasSymptomContext,symptom,Lờ đờ,FAO_010 aboutDisease IMN; IMN hasSymptom Letargy,medium,false,candidate only; manual review required,,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0054,document-level safe facts / safe evidence,document_inherits_prevention_context_from_aboutDisease,document,FAO_010,candidateHasPreventionContext,prevention,An toàn sinh học,FAO_010 aboutDisease IMN; IMN recommendedPrevention Biosecurity,medium,false,candidate only; manual review required,,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0055,document-level safe facts / safe evidence,document_inherits_pathogen_context_from_aboutDisease,document,FAO_034,candidateHasPathogenContext,pathogen,Infectious myonecrosis virus,FAO_034 aboutDisease IMN; IMN causedBy IMNV,medium,false,candidate only; manual review required,BI_001;BI_004;DS_003,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0056,document-level safe facts / safe evidence,document_inherits_symptom_context_from_aboutDisease,document,FAO_034,candidateHasSymptomContext,symptom,Lờ đờ,FAO_034 aboutDisease IMN; IMN hasSymptom Letargy,medium,false,candidate only; manual review required,BI_001;BI_004;DS_003,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0057,document-level safe facts / safe evidence,document_inherits_prevention_context_from_aboutDisease,document,FAO_034,candidateHasPreventionContext,prevention,An toàn sinh học,FAO_034 aboutDisease IMN; IMN recommendedPrevention Biosecurity,medium,false,candidate only; manual review required,BI_001;BI_004;DS_003,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0058,document-level safe facts / safe evidence,document_inherits_pathogen_context_from_aboutDisease,document,FAO_044,candidateHasPathogenContext,pathogen,Vi khuẩn Vibrio parahaemolyticus,FAO_044 aboutDisease AHPND; AHPND causedBy Vibrio_parahaemolyticus,medium,false,candidate only; manual review required,DS_007,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0059,document-level safe facts / safe evidence,document_inherits_symptom_context_from_aboutDisease,document,FAO_044,candidateHasSymptomContext,symptom,Lờ đờ,FAO_044 aboutDisease AHPND; AHPND hasSymptom Letargy,medium,false,candidate only; manual review required,,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0060,document-level safe facts / safe evidence,document_inherits_symptom_context_from_aboutDisease,document,FAO_044,candidateHasSymptomContext,symptom,Bỏ ăn,FAO_044 aboutDisease AHPND; AHPND hasSymptom Anorexia,medium,false,candidate only; manual review required,,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0061,document-level safe facts / safe evidence,document_inherits_symptom_context_from_aboutDisease,document,FAO_044,candidateHasSymptomContext,symptom,Gan tụy bất thường,FAO_044 aboutDisease AHPND; AHPND hasSymptom GanTuyBatThuong,medium,false,candidate only; manual review required,,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0062,document-level safe facts / safe evidence,document_inherits_prevention_context_from_aboutDisease,document,FAO_044,candidateHasPreventionContext,prevention,An toàn sinh học,FAO_044 aboutDisease AHPND; AHPND recommendedPrevention Biosecurity,medium,false,candidate only; manual review required,,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0063,document-level safe facts / safe evidence,document_inherits_prevention_context_from_aboutDisease,document,FAO_044,candidateHasPreventionContext,prevention,Giống sạch bệnh (SPF),FAO_044 aboutDisease AHPND; AHPND recommendedPrevention UseSPFSeed,medium,false,candidate only; manual review required,,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0064,document-level safe facts / safe evidence,document_inherits_treatment_context_from_aboutDisease,document,FAO_044,candidateHasTreatmentContext,treatment,Tăng sục khí,FAO_044 aboutDisease AHPND; AHPND recommendedTreatment ImproveAeration,medium,false,candidate only; manual review required,,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0065,document-level safe facts / safe evidence,document_inherits_treatment_context_from_aboutDisease,document,FAO_044,candidateHasTreatmentContext,treatment,Thay nước,FAO_044 aboutDisease AHPND; AHPND recommendedTreatment WaterExchange,medium,false,candidate only; manual review required,,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0066,document-level safe facts / safe evidence,document_inherits_pathogen_context_from_aboutDisease,document,FAO_045,candidateHasPathogenContext,pathogen,Infectious myonecrosis virus,FAO_045 aboutDisease IMN; IMN causedBy IMNV,medium,false,candidate only; manual review required,,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0067,document-level safe facts / safe evidence,document_inherits_symptom_context_from_aboutDisease,document,FAO_045,candidateHasSymptomContext,symptom,Lờ đờ,FAO_045 aboutDisease IMN; IMN hasSymptom Letargy,medium,false,candidate only; manual review required,,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0068,document-level safe facts / safe evidence,document_inherits_prevention_context_from_aboutDisease,document,FAO_045,candidateHasPreventionContext,prevention,An toàn sinh học,FAO_045 aboutDisease IMN; IMN recommendedPrevention Biosecurity,medium,false,candidate only; manual review required,,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0069,document-level safe facts / safe evidence,document_inherits_pathogen_context_from_aboutDisease,document,IJMS_001,candidateHasPathogenContext,pathogen,Virus đốm trắng (WSSV),IJMS_001 aboutDisease WhiteSpotDisease; WhiteSpotDisease causedBy WSSV,medium,false,candidate only; manual review required,BI_001;DS_002;DS_007;HM_001;HM_010;SL_002;SL_004;SL_007,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0070,document-level safe facts / safe evidence,document_inherits_symptom_context_from_aboutDisease,document,IJMS_001,candidateHasSymptomContext,symptom,Lờ đờ,IJMS_001 aboutDisease WhiteSpotDisease; WhiteSpotDisease hasSymptom Letargy,medium,false,candidate only; manual review required,BI_001;DS_002;DS_007;HM_001;HM_010;SL_002;SL_004;SL_007,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0071,document-level safe facts / safe evidence,document_inherits_symptom_context_from_aboutDisease,document,IJMS_001,candidateHasSymptomContext,symptom,Bỏ ăn,IJMS_001 aboutDisease WhiteSpotDisease; WhiteSpotDisease hasSymptom Anorexia,medium,false,candidate only; manual review required,BI_001;DS_002;DS_007;HM_001;HM_010;SL_002;SL_004;SL_007,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0072,document-level safe facts / safe evidence,document_inherits_symptom_context_from_aboutDisease,document,IJMS_001,candidateHasSymptomContext,symptom,Đốm trắng,IJMS_001 aboutDisease WhiteSpotDisease; WhiteSpotDisease hasSymptom WhiteSpot,medium,false,candidate only; manual review required,BI_001;DS_002;DS_007;HM_001;HM_010;SL_002;SL_004;SL_007,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0073,document-level safe facts / safe evidence,document_inherits_prevention_context_from_aboutDisease,document,IJMS_001,candidateHasPreventionContext,prevention,An toàn sinh học,IJMS_001 aboutDisease WhiteSpotDisease; WhiteSpotDisease recommendedPrevention Biosecurity,medium,false,candidate only; manual review required,BI_001;DS_002;DS_007;HM_001;HM_010;SL_002;SL_004;SL_007,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0074,document-level safe facts / safe evidence,document_inherits_prevention_context_from_aboutDisease,document,IJMS_001,candidateHasPreventionContext,prevention,Giống sạch bệnh (SPF),IJMS_001 aboutDisease WhiteSpotDisease; WhiteSpotDisease recommendedPrevention UseSPFSeed,medium,false,candidate only; manual review required,BI_001;DS_002;DS_007;HM_001;HM_010;SL_002;SL_004;SL_007,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0075,document-level safe facts / safe evidence,document_inherits_treatment_context_from_aboutDisease,document,IJMS_001,candidateHasTreatmentContext,treatment,Tăng sục khí,IJMS_001 aboutDisease WhiteSpotDisease; WhiteSpotDisease recommendedTreatment ImproveAeration,medium,false,candidate only; manual review required,BI_001;DS_002;DS_007;HM_001;HM_010;SL_002;SL_004;SL_007,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0076,document-level safe facts / safe evidence,document_inherits_treatment_context_from_aboutDisease,document,IJMS_001,candidateHasTreatmentContext,treatment,Thay nước,IJMS_001 aboutDisease WhiteSpotDisease; WhiteSpotDisease recommendedTreatment WaterExchange,medium,false,candidate only; manual review required,BI_001;DS_002;DS_007;HM_001;HM_010;SL_002;SL_004;SL_007,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0077,document-level safe facts / safe evidence,document_inherits_pathogen_context_from_aboutDisease,document,NACA_002,candidateHasPathogenContext,pathogen,Virus đốm trắng (WSSV),NACA_002 aboutDisease WhiteSpotDisease; WhiteSpotDisease causedBy WSSV,medium,false,candidate only; manual review required,BI_001;BI_004;DS_002;LO_002;LO_006,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0078,document-level safe facts / safe evidence,document_inherits_symptom_context_from_aboutDisease,document,NACA_002,candidateHasSymptomContext,symptom,Lờ đờ,NACA_002 aboutDisease WhiteSpotDisease; WhiteSpotDisease hasSymptom Letargy,medium,false,candidate only; manual review required,BI_001;BI_004,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0079,document-level safe facts / safe evidence,document_inherits_symptom_context_from_aboutDisease,document,NACA_002,candidateHasSymptomContext,symptom,Bỏ ăn,NACA_002 aboutDisease WhiteSpotDisease; WhiteSpotDisease hasSymptom Anorexia,medium,false,candidate only; manual review required,BI_001;BI_004,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0080,document-level safe facts / safe evidence,document_inherits_symptom_context_from_aboutDisease,document,NACA_002,candidateHasSymptomContext,symptom,Đốm trắng,NACA_002 aboutDisease WhiteSpotDisease; WhiteSpotDisease hasSymptom WhiteSpot,medium,false,candidate only; manual review required,BI_001;BI_004,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
SRC_0081,document-level safe facts / safe evidence,document_inherits_prevention_context_from_aboutDisease,document,NACA_002,candidateHasPreventionContext,prevention,An toàn sinh học,NACA_002 aboutDisease WhiteSpotDisease; WhiteSpotDisease recommendedPrevention Biosecurity,medium,false,candidate only; manual review required,BI_001;BI_004,Safe contextual evidence derived from direct document disease fact; not asserted as document fact.
